Well,Temperature,Value
A09,85,15238.75758
A09,86,14997.5303
A09,87,14354.9697
A09,88,14013.68182
A09,89,13284.31818
A09,90,13576.77273
A09,91,13260.01515
A09,92,12910.13636
A09,93,12602.31818
A09,94,12333.25758
A09,95,12117.9697
A10,26,3885.257576
A10,27,4272.818182
A10,28,4159.242424
A10,29,4213.227273
A10,30,4280.666667
A10,31,4482.787879
A10,32,4446.515152
A10,33,4429.318182
A10,34,4386.333333
A10,35,4386.984848
A10,36,4266.575758
A10,37,4154.833333
A10,38,4078.075758
A10,39,4019.106061
A10,40,3925.984848
A10,41,3878.287879
A10,42,3820.560606
A10,43,3739.681818
A10,44,3701.484848
A10,45,3683.621212
A10,46,3693.151515
A10,47,3716.606061
A10,48,3789.333333
A10,49,3844.136364
A10,50,3930.151515
A10,51,3932.530303
A10,52,3967.984848
A10,53,3994.424242
A10,54,3980.757576
A10,55,3942.954545
A10,56,3928.272727
A10,57,3929.560606
A10,58,3889.651515
A10,59,3891.575758
A10,60,3870.333333
A10,61,3829.348485
A10,62,3820.787879
A10,63,3734.575758
A10,64,3756.181818
A10,65,3721.848485
A10,66,3689.969697
A10,67,3650.969697
A10,68,3636.484848
A10,69,3660.772727
A10,70,3694.848485
A10,71,3749.242424
A10,72,3878.212121
A10,73,3997.818182
A10,74,4279.19697
A10,75,4904
A10,76,6174.242424
A10,77,8697.848485
A10,78,12863.16667
A10,79,17028.34848
A10,80,18787.16667
A10,81,19046.09091
A10,82,18721.07576
A10,83,18150.37879
A10,84,17535
A10,85,16836.07576
A10,86,16208.33333
A10,87,15531.95455
A10,88,14881.18182
A10,89,14236.84848
A10,90,13572.19697
A10,91,12932.66667
A10,92,12346.9697
A10,93,11708.04545
A10,94,11194.13636
A10,95,10692.22727
A11,26,4339.242424
A11,27,4193.787879
A11,28,4059.954545
A11,29,3993.515152
A11,30,3839.5
A11,31,3705.318182
A11,32,3639.030303
A11,33,3581.80303
A11,34,3539.19697
A11,35,3518.939394
A11,36,3475.924242
A11,37,3419.878788
A11,38,3320.318182
A11,39,3260.969697
A11,40,3211.242424
A11,41,3158.454545
A11,42,3120.80303
A11,43,3047.818182
A11,44,3000.863636
A11,45,2968.227273
A11,46,2935.833333
A11,47,2915.818182
A11,48,2927.181818
A11,49,2941.181818
A11,50,2974.454545
A11,51,3020.242424
A11,52,3118.19697
A11,53,3179
A11,54,3279.787879
A11,55,3372.757576
A11,56,3450
A11,57,3511.409091
A11,58,3503.378788
A11,59,3484.80303
A11,60,3452.712121
A11,61,3402.242424
A11,62,3358.954545
A11,63,3318
A11,64,3267.393939
A11,65,3219.621212
A11,66,3185.454545
A11,67,3165.409091
A11,68,3160.424242
A11,69,3148.878788
A11,70,3173.242424
A11,71,3212.030303
A11,72,3268.848485
A11,73,3371.515152
A11,74,3500.030303
A11,75,3757.060606
A11,76,4229.969697
A11,77,5185.272727
A11,78,7244.333333
A11,79,10956.98485
A11,80,14582.37879
A11,81,16908.75758
A11,82,17236.25758
A11,83,16922.25758
A11,84,16418
A11,85,15866.86364
A11,86,15300.66667
A11,87,14686.42424
A11,88,14108.12121
A11,89,13501.25758
A11,90,12936.4697
A11,91,12371.62121
A11,92,11840.89394
A11,93,11293.86364
A11,94,10809.59091
A11,95,10350.21212
A12,26,30482.39394
A12,27,30517.18182
A12,28,30656.27273
A12,29,30603.84848
A12,30,30831.5974
A12,31,30023.51515
A12,32,29191.12121
A12,33,29025.12121
A12,34,28234.51515
A12,35,28423.24242
A12,36,27867.27273
A12,37,26697.37879
A12,38,25409.98485
A12,39,24634.39394
A12,40,24281.81818
A12,41,23570.87879
A12,42,22638.18182
A12,43,21902.80303
A12,44,21449.72727
A12,45,20612.39394
A12,46,20233.0303
A12,47,19541.59091
A12,48,18945.25758
A12,49,18460.42424
A12,50,17831.43939
A12,51,17102.19697
A12,52,16833.21212
A12,53,15942.21212
A12,54,15423.83117
A12,55,14575.13636
A12,56,13583.87879
A12,57,12721.25758
A12,58,11559.54545
A12,59,10665.18182
A12,60,9592.924242
A12,61,8697.69697
A12,62,7945.363636
A12,63,7216.80303
A12,64,6599.80303
A12,65,6115.212121
A12,66,5671.015152
A12,67,5315.560606
A12,68,5058.575758
A12,69,4863.5
A12,70,4750.651515
A12,71,4691.833333
A12,72,4641.454545
A12,73,4626.666667
A12,74,4619.621212
A12,75,4648.19697
A12,76,4652.19697
A12,77,4702.242424
A12,78,4783.878788
A12,79,4971.272727
A12,80,5325.212121
A12,81,6236.439394
A12,82,8100.348485
A12,83,11058.31818
A12,84,13451.83333
A12,85,14288.22727
A12,86,14305.75758
A12,87,14010.89394
A12,88,13718.19697
A12,89,13287.75758
A12,90,12863.09091
A12,91,12426.28788
A12,92,12047.5974
A12,93,11508.15152
A12,94,11106.18182
A12,95,10681.90909
A13,26,3187.318182
A13,27,3139
A13,28,3084.939394
A13,29,3051.168831
A13,30,3014.077922
A13,31,2956.878788
A13,32,2900.454545
A13,33,2883.584416
A13,34,2841.666667
A13,35,2802.69697
A13,36,2798.606061
A13,37,2814.560606
A13,38,2806.090909
A13,39,2839.651515
A13,40,2858.742424
A13,41,2862.030303
A13,42,2906.984848
A13,43,2931.227273
A13,44,2959.606061
A13,45,2983.575758
A13,46,3025.415584
A13,47,3071.136364
A13,48,3122.363636
A13,49,3154.181818
A13,50,3224.030303
A13,51,3256.242424
A13,52,3291.742424
A13,53,3315.181818
A13,54,3313
A13,55,3305.80303
A13,56,3306.363636
A13,57,3291.424242
A13,58,3271.333333
A13,59,3275.181818
A13,60,3263.818182
A13,61,3247.742424
A13,62,3223.939394
A13,63,3222.227273
A13,64,3212.106061
A13,65,3199.712121
A13,66,3197.818182
A13,67,3191.075758
A13,68,3211.151515
A13,69,3229.393939
A13,70,3257.757576
A13,71,3311.530303
A13,72,3352.378788
A13,73,3450.363636
A13,74,3595.30303
A13,75,3932.909091
A13,76,4625.015152
A13,77,6130.166667
A13,78,8582.833333
A13,79,11337.5
A13,80,12989.68182
A13,81,13520.46753
A13,82,13357.89394
A13,83,13077.16667
A13,84,12747.66667
A13,85,12384.09091
A13,86,12024.60606
A13,87,11663.30303
A13,88,11286.87879
A13,89,10934.37879
A13,90,10587.84848
A13,91,10297.4026
A13,92,9963.090909
A13,93,9577
A13,94,9255.333333
A13,95,8889.606061
A14,26,20807.09091
A14,27,20585.93506
A14,28,20310.65152
A14,29,20094.11688
A14,30,19773.07792
A14,31,19442.56061
A14,32,19224.5303
A14,33,19089.41558
A14,34,19087.37879
A14,35,18932.21212
A14,36,18883.18182
A14,37,18712.16667
A14,38,18476.01515
A14,39,18147.28788
A14,40,17932.31169
A14,41,17686.40909
A14,42,17537.09091
A14,43,17417.92424
A14,44,17477.72727
A14,45,17765.12121
A14,46,17951.92208
A14,47,18091.18182
A14,48,18205.16883
A14,49,18029.98701
A14,50,17870.39394
A14,51,17858.09091
A14,52,17619.48052
A14,53,17362.46753
A14,54,17173.09091
A14,55,16883.90909
A14,56,16785.45455
A14,57,16427.87879
A14,58,16325.4026
A14,59,16160.12121
A14,60,15939.09091
A14,61,15911.68182
A14,62,15692.28788
A14,63,15604.21212
A14,64,15611.09091
A14,65,15732.97403
A14,66,15944.28788
A14,67,16150.18182
A14,68,16432.77273
A14,69,16861.28788
A14,70,17654.60606
A14,71,18492.84848
A14,72,19600.87879
A14,73,20878.0303
A14,74,22042.04545
A14,75,23583.4026
A14,76,25442.48485
A14,77,28141.60606
A14,78,31803.12121
A14,79,35190.06061
A14,80,36699.01515
A14,81,36669.54545
A14,82,35853.21212
A14,83,34716.60606
A14,84,33653.36364
A14,85,32616.59091
A14,86,31568.43939
A14,87,30424.8961
A14,88,29376.66667
A14,89,28407.57576
A14,90,27573.66234
A14,91,26545.38961
A14,92,25558.28788
A14,93,24838.98485
A14,94,24023.10606
A14,95,22993.06494
A15,26,48360.58442
A15,27,47221.89394
A15,28,45915.35065
A15,29,45310.71212
A15,30,44531.31169
A15,31,44249.84848
A15,32,43202.2987
A15,33,42522.40909
A15,34,42053.80303
A15,35,40954.37879
A15,36,40608.62121
A15,37,40217.45455
A15,38,39841.68182
A15,39,39105.74026
A15,40,38431.71212
A15,41,38159
A15,42,37647.21212
A15,43,37233.81818
A15,44,36686.15152
A15,45,36047.51948
A15,46,35040.68182
A15,47,34324.98485
A15,48,33704.44156
A15,49,33204.37662
A15,50,32333.56061
A15,51,32045.46753
A15,52,31545.09091
A15,53,30989.7013
A15,54,30504.68182
A15,55,29862.69697
A15,56,29450.65152
A15,57,29305.12121
A15,58,29093.24675
A15,59,28555.51515
A15,60,28339.69697
A15,61,27769.30303
A15,62,27264.06061
A15,63,27007.04545
A15,64,26876.40909
A15,65,26892.7013
A15,66,26410.51515
A15,67,26452.24242
A15,68,26413.12121
A15,69,26470.43939
A15,70,26909.77273
A15,71,27854.60606
A15,72,29231.15152
A15,73,32339.34848
A15,74,36603.25758
A15,75,42032.03896
A15,76,46680.40909
A15,77,49153.75758
A15,78,50700.57576
A15,79,51194.36364
A15,80,51490.96104
A15,81,51575.5303
A15,82,51447.87879
A15,83,51050.90909
A15,84,50015.18182
A15,85,49306.24242
A15,86,48157.71212
A15,87,47030.79221
A15,88,45638.30303
A15,89,44375.61039
A15,90,42917.01515
A15,91,41478.4026
A15,92,40221.69697
A15,93,38558.5
A15,94,36969.83117
A15,95,35546.86364
A16,26,4502.337662
A16,27,4463.30303
A16,28,4430.441558
A16,29,4418.454545
A16,30,4399.506494
A16,31,4394.5
A16,32,4353.675325
A16,33,4327.136364
A16,34,4324.878788
A16,35,4314.272727
A16,36,4288.045455
A16,37,4458.348485
A16,38,4527.166667
A16,39,4663.155844
A16,40,4906.772727
A16,41,5288.590909
A16,42,5971.939394
A16,43,6906.969697
A16,44,9066.621212
A16,45,12624.35065
A16,46,17434.65152
A16,47,23259.87013
A16,48,28300.65152
A16,49,32089.96104
A16,50,34651.90909
A16,51,36259.63636
A16,52,37032.07576
A16,53,37435.5974
A16,54,37342.27273
A16,55,37079.62121
A16,56,36840.33333
A16,57,36684.77273
A16,58,36117.27273
A16,59,35674.84848
A16,60,35186.07576
A16,61,34491.86364
A16,62,33955.56061
A16,63,33337.06061
A16,64,32418.89394
A16,65,31741.81818
A16,66,30967.59091
A16,67,30167.5
A16,68,29427.5
A16,69,28574.5
A16,70,27791.74242
A16,71,26882.86364
A16,72,26077.81818
A16,73,25324.42424
A16,74,24427.35065
A16,75,23630.39394
A16,76,22721.34848
A16,77,22009.40909
A16,78,21183.90909
A16,79,20404.84848
A16,80,19618.76623
A16,81,18804.10606
A16,82,18038.45455
A16,83,17256.21212
A16,84,16515.86364
A16,85,15766.42424
A16,86,15081.66667
A16,87,14403.07792
A16,88,13688.12121
A16,89,13006.94805
A16,90,12336.30303
A16,91,11753.11688
A16,92,11101.83333
A16,93,10526.75758
A16,94,10011.72727
A16,95,9529.515152
A17,26,941.9350649
A17,27,946.4090909
A17,28,942.4545455
A17,29,948.3181818
A17,30,943.0909091
A17,31,942.4090909
A17,32,940.8571429
A17,33,942.7575758
A17,34,944.3939394
A17,35,942.6666667
A17,36,941.4545455
A17,37,943.0606061
A17,38,938.6969697
A17,39,941.0909091
A17,40,938.1515152
A17,41,939.3939394
A17,42,940.3939394
A17,43,937.5909091
A17,44,935.7121212
A17,45,935.1168831
A17,46,939.0606061
A17,47,935.2857143
A17,48,934.8181818
A17,49,934.2207792
A17,50,932.7727273
A17,51,928.6883117
A17,52,932.1212121
A17,53,929.3506494
A17,54,930.3030303
A17,55,927.2424242
A17,56,927
A17,57,928.030303
A17,58,924.4545455
A17,59,920.2878788
A17,60,919.9090909
A17,61,918.2575758
A17,62,919.1515152
A17,63,915.8181818
A17,64,913.530303
A17,65,912.3506494
A17,66,910.5151515
A17,67,909.4090909
A17,68,909.030303
A17,69,909.0909091
A17,70,903.0454545
A17,71,901.9393939
A17,72,900.8030303
A17,73,898.8787879
A17,74,896.0649351
A17,75,895.9545455
A17,76,891.469697
A17,77,894.5151515
A17,78,892.5
A17,79,889.7424242
A17,80,885.9090909
A17,81,885.9242424
A17,82,885.0909091
A17,83,885.7878788
A17,84,880.7121212
A17,85,878.7121212
A17,86,876.1212121
A17,87,874.4415584
A17,88,873.969697
A17,89,871.7922078
A17,90,870.5151515
A17,91,869.8701299
A17,92,867.5757576
A17,93,867.2272727
A17,94,867.8181818
A17,95,865.7575758
A18,26,1019.987013
A18,27,1019.106061
A18,28,1017.415584
A18,29,1015.621212
A18,30,1019.636364
A18,31,1015.80303
A18,32,1014.207792
A18,33,1011.80303
A18,34,1010.348485
A18,35,1008.575758
A18,36,1011.621212
A18,37,1005.439394
A18,38,1004.012987
A18,39,997.4545455
A18,40,999.8181818
A18,41,996
A18,42,996.7575758
A18,43,992.530303
A18,44,993.3376623
A18,45,990.3376623
A18,46,984.3636364
A18,47,983.8181818
A18,48,982.3787879
A18,49,981.974026
A18,50,981.0909091
A18,51,979.8831169
A18,52,977.5606061
A18,53,975.7532468
A18,54,975.7121212
A18,55,969.7121212
A18,56,966.5909091
A18,57,964.1688312
A18,58,963.1298701
A18,59,962.1212121
A18,60,963.2424242
A18,61,959.2727273
A18,62,960.4393939
A18,63,959.9350649
A18,64,953.7878788
A18,65,951.8051948
A18,66,950.6060606
A18,67,950.4393939
A18,68,948.7727273
A18,69,945.0606061
A18,70,945.7532468
A18,71,940.1666667
A18,72,941.3484848
